# QBD Vacuum Parameter Sweep Results (2-Parameter Model)
# Timestamp: 20251114-083509
# Anchored ALPHA: 0.17 MeV
# Anchored T_VACUUM: 0.693 MeV
# Nodes (approx): 100
# Runs per point: 100
# Max Steps: 1500

mu,lambda,Runs_Success,Stall_Rate_pct,Mean_N3,Std_Dev_N3,Median_N3,Mean_Rho3,Std_Dev_Rho3,Median_Rho3,Skew_Rho3
0.15,0.8,100,0.0,0.04,0.19595917942265426,0.0,0.0004,0.0019595917942265427,0.0,4.694855340334425
0.15,1.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.15,1.4000000000000001,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.15,1.7000000000000002,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.15,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.15,2.3000000000000003,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.15,2.6000000000000005,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.15,2.9000000000000004,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.15,3.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.15,3.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.15,3.8000000000000007,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.15,4.1000000000000005,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,0.8,100,0.0,0.1,0.30000000000000004,0.0,0.001,0.0030000000000000005,0.0,2.666666666666667
0.2,1.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,1.4000000000000001,100,0.0,0.27,2.686466080187874,0.0,0.0027,0.026864660801878736,0.0,9.849370589540284
0.2,1.7000000000000002,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,2.3000000000000003,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,2.6000000000000005,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,2.9000000000000004,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,3.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,3.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,3.8000000000000007,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,4.1000000000000005,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.25,0.8,100,0.0,0.9,2.3473389188611002,0.0,0.009000000000000001,0.023473389188611003,0.0,3.3071391370701915
0.25,1.1,100,0.0,0.33,2.163584987930911,0.0,0.003300000000000001,0.021635849879309107,0.0,8.836902440345872
0.25,1.4000000000000001,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.25,1.7000000000000002,100,0.0,0.1,0.9949874371066203,0.0,0.001,0.009949874371066196,0.0,9.849370589540289
0.25,2.0,100,0.0,0.09,0.8954886933959579,0.0,0.0009,0.008954886933959582,0.0,9.849370589540262
0.25,2.3000000000000003,100,0.0,0.25,2.48746859276655,0.0,0.0025,0.024874685927665497,0.0,9.849370589540278
0.25,2.6000000000000005,100,0.0,0.31,3.0844610550305216,0.0,0.0031,0.030844610550305216,0.0,9.849370589540284
0.25,2.9000000000000004,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.25,3.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.25,3.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.25,3.8000000000000007,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.25,4.1000000000000005,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.30000000000000004,0.8,100,0.0,1.57,4.315680711081392,0.0,0.015700000000000002,0.04315680711081393,0.0,5.292808738335159
