|   Steps t |   Simulated P(t) |   Theoretical P(t) | Local Dimension d_S   |
|-----------|------------------|--------------------|-----------------------|
|         2 |          0.12464 |           0.101325 | N/A                   |
|         4 |          0.04033 |           0.025331 | N/A                   |
|         6 |          0.01966 |           0.011258 | 3.5441                |
|         8 |          0.01125 |           0.006333 | 3.8808                |
|        10 |          0.00771 |           0.004053 | 3.3866                |
|        12 |          0.00529 |           0.002815 | 4.1323                |
|        14 |          0.00365 |           0.002068 | 4.8147                |
|        16 |          0.00309 |           0.001583 | 2.4946                |
|        18 |          0.00238 |           0.001251 | 4.4331                |
|        20 |          0.00184 |           0.001013 | 4.8848                |
|        22 |          0.0017  |           0.000837 | 1.6606                |
|        24 |          0.00133 |           0.000704 | 5.6418                |
|        26 |          0.0012  |           0.0006   | 2.5701                |
|        28 |          0.00083 |           0.000517 | 9.9490                |
|        30 |          0.0008  |           0.00045  | 1.0672                |
|        32 |          0.00076 |           0.000396 | 1.5895                |
|        34 |          0.00064 |           0.000351 | 5.6693                |
|        36 |          0.00059 |           0.000313 | 2.8463                |
|        38 |          0.00051 |           0.000281 | 5.3900                |
|        40 |          0.00052 |           0.000253 | -0.7571               |
