|   Time t |   Density rho |   Cycle population N3 |   Scale Factor a |   Hubble Rate H |   Cumulative e-folds |
|----------|---------------|-----------------------|------------------|-----------------|----------------------|
|      0   |          0.06 |                100    |           4.6416 |         0.01333 |               0.0067 |
|      0.5 |          0.06 |                102.02 |           4.6726 |         0.01333 |               0.0133 |
|      1   |          0.06 |                104.08 |           4.7039 |         0.01333 |               0.02   |
|      1.5 |          0.06 |                106.18 |           4.7354 |         0.01333 |               0.0267 |
|      2   |          0.06 |                108.33 |           4.767  |         0.01333 |               0.0333 |
|      2.5 |          0.06 |                110.52 |           4.7989 |         0.01333 |               0.04   |
|      3   |          0.06 |                112.75 |           4.831  |         0.01333 |               0.0467 |
|      3.5 |          0.06 |                115.03 |           4.8633 |         0.01333 |               0.0533 |
|      4   |          0.06 |                117.35 |           4.8959 |         0.01333 |               0.06   |
|      4.5 |          0.06 |                119.72 |           4.9286 |         0.01333 |               0.0667 |
|      5   |          0.06 |                122.14 |           4.9616 |         0.01333 |               0.0733 |
