|   Comoving Scale k |   Exit Time t_exit |   Exit Density rho |   Exit Hubble H |   Noise Damping Factor |   Power Amplitude P(k) |
|--------------------|--------------------|--------------------|-----------------|------------------------|------------------------|
|               10   |              10    |             0.0145 |         0.1235  |                 0.9659 |              0.0017476 |
|               21.5 |              15.56 |             0.017  |         0.12267 |                 0.9601 |              0.0016908 |
|               46.4 |              21.11 |             0.0195 |         0.12183 |                 0.9544 |              0.0016355 |
|              100   |              26.67 |             0.022  |         0.121   |                 0.9487 |              0.0015817 |
|              215.4 |              32.22 |             0.0245 |         0.12017 |                 0.943  |              0.0015294 |
|              464.2 |              37.78 |             0.027  |         0.11933 |                 0.9374 |              0.0014785 |
|             1000   |              43.33 |             0.0295 |         0.1185  |                 0.9318 |              0.0014291 |
|             2154.4 |              48.89 |             0.032  |         0.11767 |                 0.9263 |              0.001381  |
|             4641.6 |              54.44 |             0.0345 |         0.11683 |                 0.9207 |              0.0013343 |
|            10000   |              60    |             0.037  |         0.116   |                 0.9152 |              0.0012889 |
