|   Time t |   Density rho |   dot_rho |   Hubble H |   Epsilon (ε) |   Eta (η) |
|----------|---------------|-----------|------------|---------------|-----------|
|        6 |        0.0483 |  0.00484  |    0.19479 |      -0.38269 | -20.7229  |
|       12 |        0.287  |  0.194071 |    0.91096 |      -0.70158 |  -1.00373 |
|       18 |        1.3239 |  0.000477 |    4.02171 |      -9e-05   |   1.2994  |
|       24 |        1.3254 |  0.001028 |    4.02619 |      -0.00019 |  -0.03358 |
|       30 |        1.3265 |  0.000994 |    4.02946 |      -0.00018 |   0.81108 |
|       36 |        1.3253 | -0.000679 |    4.02579 |       0.00013 |   1.0067  |
|       42 |        1.3257 | -0.00022  |    4.02724 |       4e-05   |   2.83681 |
|       48 |        1.3266 | -0.000876 |    4.02987 |       0.00016 |  -1.42714 |
|       54 |        1.3253 |  0.000453 |    4.02584 |      -8e-05   |  -2.20409 |
