|   Cycle Length (k) |   Add Ops |   Del Ops |   Total Steps |
|-------------------:|----------:|----------:|--------------:|
|                  4 |         4 |         1 |             5 |
|                  5 |         5 |         3 |             8 |
|                  6 |         6 |         2 |             8 |
|                  7 |         7 |         3 |            10 |
|                  8 |         8 |         3 |            11 |
|                  9 |         9 |         3 |            12 |
|                 10 |        10 |         3 |            13 |
|                 11 |        11 |         3 |            14 |
|                 12 |        12 |         3 |            15 |
