5-Qubit Perfect Code Syndrome Table
==================================
| Error Type   | Qubit   |   Syndrome |
|--------------|---------|------------|
| None         | -       |       0000 |
| X            | 0       |       0000 |
| Y            | 0       |       1010 |
| Z            | 0       |       0000 |
| X            | 1       |       0000 |
| Y            | 1       |       0101 |
| Z            | 1       |       0000 |
| X            | 2       |       0000 |
| Y            | 2       |       0010 |
| Z            | 2       |       0000 |
| X            | 3       |       0000 |
| Y            | 3       |       1001 |
| Z            | 3       |       0000 |
| X            | 4       |       0000 |
| Y            | 4       |       0100 |
| Z            | 4       |       0000 |

7-Qubit Steane Code Syndrome Table
=================================
| Error Type   | Qubit   |   Syndrome |
|--------------|---------|------------|
| None         | -       |     000000 |
| X            | 0       |     000000 |
| Y            | 0       |     001000 |
| Z            | 0       |     000000 |
| X            | 1       |     000000 |
| Y            | 1       |     010000 |
| Z            | 1       |     000000 |
| X            | 2       |     000000 |
| Y            | 2       |     011000 |
| Z            | 2       |     000000 |
| X            | 3       |     000000 |
| Y            | 3       |     100000 |
| Z            | 3       |     000000 |
| X            | 4       |     000000 |
| Y            | 4       |     101000 |
| Z            | 4       |     000000 |
| X            | 5       |     000000 |
| Y            | 5       |     110000 |
| Z            | 5       |     000000 |
| X            | 6       |     000000 |
| Y            | 6       |     111000 |
| Z            | 6       |     000000 |
