======================================================
|     N |   Boundary Edge Fraction |   Relative Correction |
|-------|--------------------------|-----------------------|
|   100 |                   0.5    |                0.7651 |
|   400 |                   0.2    |                0.4823 |
|   900 |                   0.1667 |                0.3605 |
|  1600 |                   0.1    |                0.2911 |
|  2500 |                   0.1    |                0.2458 |
|  3600 |                   0.0667 |                0.2136 |
|  4900 |                   0.0714 |                0.1894 |
|  6400 |                   0.05   |                0.1705 |
|  8100 |                   0.0556 |                0.1554 |
| 10000 |                   0.04   |                0.1429 |
