# QBD Vacuum Phase C++20 Simulation Data
# N=1000 runs=1000 mu=0.398942 lambda=1.71828 seed=0
seed,n3_final,steps,rho3_final,survived
0,0,183,0.000000,0
1,0,230,0.000000,0
2,34,231,0.034000,1
3,3,170,0.003000,1
4,13,203,0.013000,1
5,10,218,0.010000,1
6,0,213,0.000000,0
7,20,138,0.020000,1
8,0,196,0.000000,0
9,16,214,0.016000,1
10,8,146,0.008000,1
11,10,239,0.010000,1
12,5,164,0.005000,1
13,14,241,0.014000,1
14,0,186,0.000000,0
15,0,194,0.000000,0
16,0,147,0.000000,0
17,29,245,0.029000,1
18,0,200,0.000000,0
19,0,236,0.000000,0
20,0,159,0.000000,0
21,0,199,0.000000,0
22,0,248,0.000000,0
23,11,205,0.011000,1
24,0,230,0.000000,0
25,0,170,0.000000,0
26,0,154,0.000000,0
27,0,239,0.000000,0
28,0,210,0.000000,0
29,0,145,0.000000,0
30,24,223,0.024000,1
31,8,245,0.008000,1
32,3,164,0.003000,1
33,0,221,0.000000,0
34,3,196,0.003000,1
35,0,226,0.000000,0
36,13,196,0.013000,1
37,24,189,0.024000,1
38,0,179,0.000000,0
39,8,212,0.008000,1
40,0,227,0.000000,0
41,0,164,0.000000,0
42,13,180,0.013000,1
43,0,187,0.000000,0
44,19,254,0.019000,1
45,0,195,0.000000,0
46,12,202,0.012000,1
47,30,158,0.030000,1
48,8,283,0.008000,1
49,15,188,0.015000,1
50,0,154,0.000000,0
51,0,172,0.000000,0
52,0,168,0.000000,0
53,24,222,0.024000,1
54,5,189,0.005000,1
55,15,279,0.015000,1
56,0,189,0.000000,0
57,0,209,0.000000,0
58,0,272,0.000000,0
59,0,173,0.000000,0
60,0,257,0.000000,0
61,18,236,0.018000,1
62,0,148,0.000000,0
63,7,211,0.007000,1
64,27,214,0.027000,1
65,0,218,0.000000,0
66,14,275,0.014000,1
67,12,169,0.012000,1
68,11,181,0.011000,1
69,0,314,0.000000,0
70,18,245,0.018000,1
71,4,226,0.004000,1
72,0,208,0.000000,0
73,0,206,0.000000,0
74,3,223,0.003000,1
75,13,141,0.013000,1
76,0,264,0.000000,0
77,0,172,0.000000,0
78,0,162,0.000000,0
79,0,173,0.000000,0
80,0,220,0.000000,0
81,6,211,0.006000,1
82,0,209,0.000000,0
83,0,111,0.000000,0
84,58,218,0.058000,1
85,20,161,0.020000,1
86,0,235,0.000000,0
87,18,190,0.018000,1
88,0,159,0.000000,0
89,3,128,0.003000,1
90,0,226,0.000000,0
91,0,198,0.000000,0
92,0,157,0.000000,0
93,0,249,0.000000,0
94,2,220,0.002000,1
95,0,310,0.000000,0
96,10,147,0.010000,1
97,13,230,0.013000,1
98,0,176,0.000000,0
99,0,189,0.000000,0
100,0,263,0.000000,0
101,0,211,0.000000,0
102,15,199,0.015000,1
103,0,225,0.000000,0
104,0,210,0.000000,0
105,18,222,0.018000,1
106,20,188,0.020000,1
107,0,187,0.000000,0
108,12,186,0.012000,1
109,31,196,0.031000,1
110,2,195,0.002000,1
111,0,173,0.000000,0
112,0,240,0.000000,0
113,0,218,0.000000,0
114,0,198,0.000000,0
115,14,239,0.014000,1
116,0,154,0.000000,0
117,21,237,0.021000,1
118,3,196,0.003000,1
119,17,130,0.017000,1
120,0,173,0.000000,0
121,22,281,0.022000,1
122,0,243,0.000000,0
123,0,228,0.000000,0
124,4,229,0.004000,1
125,8,253,0.008000,1
126,0,172,0.000000,0
127,13,185,0.013000,1
128,24,205,0.024000,1
129,4,253,0.004000,1
130,16,265,0.016000,1
131,0,160,0.000000,0
132,0,246,0.000000,0
133,0,165,0.000000,0
134,0,237,0.000000,0
135,0,209,0.000000,0
136,0,222,0.000000,0
137,0,225,0.000000,0
138,46,263,0.046000,1
139,0,166,0.000000,0
140,36,193,0.036000,1
141,9,189,0.009000,1
142,4,221,0.004000,1
143,26,180,0.026000,1
144,25,176,0.025000,1
145,0,225,0.000000,0
146,0,203,0.000000,0
147,30,240,0.030000,1
148,17,239,0.017000,1
149,10,224,0.010000,1
150,16,252,0.016000,1
151,0,176,0.000000,0
152,0,258,0.000000,0
153,4,214,0.004000,1
154,19,241,0.019000,1
155,0,183,0.000000,0
156,6,234,0.006000,1
157,13,137,0.013000,1
158,0,242,0.000000,0
159,0,207,0.000000,0
160,26,204,0.026000,1
161,0,229,0.000000,0
162,0,153,0.000000,0
163,0,204,0.000000,0
164,0,283,0.000000,0
165,17,203,0.017000,1
166,12,224,0.012000,1
167,0,160,0.000000,0
168,0,185,0.000000,0
169,0,225,0.000000,0
170,0,238,0.000000,0
171,13,191,0.013000,1
172,11,208,0.011000,1
173,0,205,0.000000,0
174,30,187,0.030000,1
175,0,163,0.000000,0
176,0,187,0.000000,0
177,0,228,0.000000,0
178,0,164,0.000000,0
179,0,198,0.000000,0
180,0,256,0.000000,0
181,15,271,0.015000,1
182,6,177,0.006000,1
183,0,238,0.000000,0
184,4,196,0.004000,1
185,0,286,0.000000,0
186,0,124,0.000000,0
187,0,280,0.000000,0
188,0,223,0.000000,0
189,9,176,0.009000,1
190,0,164,0.000000,0
191,0,157,0.000000,0
192,8,221,0.008000,1
193,19,181,0.019000,1
194,12,215,0.012000,1
195,0,227,0.000000,0
196,0,241,0.000000,0
197,0,172,0.000000,0
198,0,254,0.000000,0
199,0,164,0.000000,0
200,3,273,0.003000,1
201,0,153,0.000000,0
202,8,212,0.008000,1
203,0,268,0.000000,0
204,0,251,0.000000,0
205,13,178,0.013000,1
206,0,244,0.000000,0
207,0,113,0.000000,0
208,0,240,0.000000,0
209,0,192,0.000000,0
210,0,179,0.000000,0
211,0,243,0.000000,0
212,4,156,0.004000,1
213,0,225,0.000000,0
214,38,202,0.038000,1
215,0,215,0.000000,0
216,9,140,0.009000,1
217,0,208,0.000000,0
218,13,222,0.013000,1
219,0,289,0.000000,0
220,6,260,0.006000,1
221,0,219,0.000000,0
222,24,236,0.024000,1
223,20,227,0.020000,1
224,10,203,0.010000,1
225,0,198,0.000000,0
226,0,236,0.000000,0
227,5,151,0.005000,1
228,32,198,0.032000,1
229,0,243,0.000000,0
230,0,173,0.000000,0
231,0,229,0.000000,0
232,0,193,0.000000,0
233,0,206,0.000000,0
234,12,236,0.012000,1
235,0,176,0.000000,0
236,0,165,0.000000,0
237,2,144,0.002000,1
238,0,269,0.000000,0
239,0,167,0.000000,0
240,9,246,0.009000,1
241,37,175,0.037000,1
242,8,305,0.008000,1
243,0,207,0.000000,0
244,0,160,0.000000,0
245,18,246,0.018000,1
246,8,220,0.008000,1
247,0,152,0.000000,0
248,0,274,0.000000,0
249,0,241,0.000000,0
250,18,169,0.018000,1
251,16,145,0.016000,1
252,0,205,0.000000,0
253,5,204,0.005000,1
254,11,161,0.011000,1
255,0,193,0.000000,0
256,4,255,0.004000,1
257,20,189,0.020000,1
258,0,231,0.000000,0
259,0,171,0.000000,0
260,0,241,0.000000,0
261,10,169,0.010000,1
262,0,183,0.000000,0
263,0,196,0.000000,0
264,0,182,0.000000,0
265,0,203,0.000000,0
266,4,216,0.004000,1
267,0,179,0.000000,0
268,0,196,0.000000,0
269,5,194,0.005000,1
270,16,175,0.016000,1
271,0,218,0.000000,0
272,4,258,0.004000,1
273,0,206,0.000000,0
274,0,300,0.000000,0
275,0,230,0.000000,0
276,9,156,0.009000,1
277,3,180,0.003000,1
