# QBD Vacuum Phase C++20 Simulation Data
# N=100 runs=100 mu=0.398942 lambda=1.71828 seed=0
seed,n3_final,steps,rho3_final,survived
0,2,107,0.020000,1
1,7,94,0.070000,1
2,2,78,0.020000,1
3,0,103,0.000000,0
4,14,50,0.140000,1
5,0,76,0.000000,0
6,0,76,0.000000,0
7,0,82,0.000000,0
8,15,77,0.150000,1
9,0,46,0.000000,0
10,11,38,0.110000,1
11,0,69,0.000000,0
12,0,75,0.000000,0
13,6,82,0.060000,1
14,0,71,0.000000,0
15,2,44,0.020000,1
16,0,54,0.000000,0
17,0,74,0.000000,0
18,0,59,0.000000,0
19,0,53,0.000000,0
20,10,43,0.100000,1
21,4,61,0.040000,1
22,0,107,0.000000,0
23,0,79,0.000000,0
24,0,51,0.000000,0
25,0,60,0.000000,0
26,0,51,0.000000,0
27,0,49,0.000000,0
28,0,88,0.000000,0
29,0,53,0.000000,0
30,0,70,0.000000,0
31,0,104,0.000000,0
32,21,67,0.210000,1
33,0,122,0.000000,0
34,0,79,0.000000,0
35,0,84,0.000000,0
36,2,39,0.020000,1
37,4,57,0.040000,1
38,2,62,0.020000,1
39,0,65,0.000000,0
40,0,40,0.000000,0
41,0,92,0.000000,0
42,0,88,0.000000,0
43,0,69,0.000000,0
44,0,44,0.000000,0
45,9,38,0.090000,1
46,0,78,0.000000,0
47,0,75,0.000000,0
48,0,75,0.000000,0
49,0,61,0.000000,0
50,0,65,0.000000,0
51,0,100,0.000000,0
52,0,75,0.000000,0
53,0,73,0.000000,0
54,0,53,0.000000,0
55,0,103,0.000000,0
56,10,90,0.100000,1
57,0,58,0.000000,0
58,0,60,0.000000,0
59,0,74,0.000000,0
60,0,76,0.000000,0
61,0,81,0.000000,0
62,24,27,0.240000,1
63,0,57,0.000000,0
64,5,93,0.050000,1
65,0,87,0.000000,0
66,3,62,0.030000,1
67,0,87,0.000000,0
68,0,60,0.000000,0
69,0,53,0.000000,0
70,6,41,0.060000,1
71,0,84,0.000000,0
72,0,75,0.000000,0
73,13,52,0.130000,1
74,6,48,0.060000,1
75,0,82,0.000000,0
76,0,48,0.000000,0
77,0,63,0.000000,0
78,0,46,0.000000,0
79,0,97,0.000000,0
80,0,54,0.000000,0
81,11,61,0.110000,1
82,0,102,0.000000,0
83,0,97,0.000000,0
84,0,63,0.000000,0
85,4,78,0.040000,1
86,0,56,0.000000,0
87,0,47,0.000000,0
88,0,41,0.000000,0
89,0,56,0.000000,0
90,0,96,0.000000,0
91,0,54,0.000000,0
92,0,48,0.000000,0
93,0,88,0.000000,0
94,10,32,0.100000,1
95,3,55,0.030000,1
96,6,36,0.060000,1
97,0,70,0.000000,0
98,0,81,0.000000,0
99,0,44,0.000000,0
