# Labelled p_surv dump at design point
# MU=0.3989422804014327 LAMBDA=1.718281828459045
# N≈100 SIMULATION_STEPS=1500 seeds=0..99 random.seed(seed)
# engine: code/model/dynamics.py as of this dump
# survivors = N3_final > 0
# SURVIVORS 27/100  mean_N3=2.48  median_N3=0
seed,n3_final
0,0
1,20
2,0
3,0
4,0
5,0
6,6
7,0
8,22
9,0
10,0
11,12
12,15
13,7
14,2
15,0
16,6
17,9
18,0
19,4
20,0
21,0
22,0
23,0
24,0
25,0
26,8
27,0
28,0
29,18
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,12
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,3
51,0
52,0
53,0
54,0
55,0
56,4
57,0
58,0
59,0
60,0
61,0
62,10
63,5
64,0
65,0
66,0
67,19
68,5
69,11
70,10
71,0
72,2
73,0
74,0
75,0
76,0
77,0
78,0
79,19
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,3
89,0
90,0
91,3
92,0
93,3
94,0
95,0
96,0
97,0
98,0
99,10
